列表_车名,列表_价格(万),列表_里程(万公里),列表_上牌时间,车辆ID,经销商ID,城市,页码,详情URL,车辆名称,价格(万),表显里程,上牌时间,挡位排量,车辆所在地,档案_上牌时间,档案_表显里程,变速箱,排放标准,排量,发布时间,年检到期,保险到期,质保到期,过户次数,档案_所在地,发动机,车辆级别,车身颜色,燃油标号,驱动方式,留言信息,留言_车辆名称,留言_驱动方式,留言_颜色,留言_出厂时间,留言_交强日期,留言_行驶里程,留言_车辆排量,留言_车辆状态,留言_钥匙,留言_车况,留言_车辆配置
宝马X3 2022款 改款 xDrive25i M运动套装,19.98,7.5,2022/01,54391338,100582,郑州,1,https://www.che168.com/dealer/100582/54391338.html,宝马X3 2022款 改款 xDrive25i M运动套装,¥19.98,7.5万公里,2022年01月,自动 / 2L,郑州,2022年01月,7.5万公里,,国VI,,2025-05-01,2026-01,2026-01,-,1次（以车辆登记证为准）,,,中型SUV,白色,95号,前置四驱,"【BMW/MINI官方认证二手车】：车龄不超过6年，行驶里程不超过120,000公里；【360度官方认证】：1. 360度专业认证检测表；2. 车辆行驶和维修记录真实可靠；3. 使用BMW原厂配件；4. BMW官方认证标识；【提供服务】：1. 12个月或不限公里原厂保修；2. 7天无忧退换；3. 12个月24小时BMW道路救援；4. 终身免费事故救援；【贴心增值服务】：1. 导航地图免费升级；2. 低首付分期贷款购车（低至可20%）；?3. 一站式置换服务；4.试乘试驾服务；5.二手车保险服务；BMW/MINI官方认证二手车介绍：BMW/MINI官方认证二手车必需是6年内12万公里内，通过360度专业认证检测确保无重大事故，无发动机大修，无组织机构破损，无涉水，维修记录真实可靠，并且通过美容整备工作的宝马二手车。提供宝马金融，24小时道路救援，享受1年不限公里全国宝马4s店保修。具体参数配置以实车为准，终解释权归河南宝莲祥二手车销售服务中心有限公司所有；",,,,,,,,,,,
迈腾 2024款  380TSI DSG尊贵版大迈包,18.88,0.08,2024/08,55091697,106700,郑州,1,https://www.che168.com/dealer/106700/55091697.html,迈腾 2024款  380TSI DSG尊贵版大迈包,¥18.88,0.08万公里,2024年08月,自动 / 2L,郑州,2024年08月,0.08万公里,,国VI,,2025-06-14,2026-08,2025-08,-,1次（以车辆登记证为准）,,,中型车,黑色,95号,前置前驱,"外观：漆面保养良好，车身结构无修复，无重大事故。 内饰：干净整洁。安全指示灯正常，气囊等被动安全项正常，车辆内电子器件使用良好， 车内静态动态设备完善。 驾驶：车辆点火、起步、提速、过弯、减速、制动均无问题，加速迅猛，动力输出平稳舒 适,无怠速抖动。 整体：整体车况一般。车体骨架结构无变形扭曲、无火烧泡水痕迹。车身有喷漆痕迹，整体漆面良好，排除大事故车辆。视野宽阔，练手选择，空间宽敞明亮通风性好，适合家庭代步车。",,,,,,,,,,,
宝马5系 2019款 改款 525Li M运动套装,16.98,9.9,2019/09,55076728,594725,郑州,1,https://www.che168.com/dealer/594725/55076728.html,宝马5系 2019款 改款 525Li M运动套装,¥16.98,9.9万公里,2019年09月,自动 / 2L,郑州,2019年09月,9.9万公里,,国VI,,2025-06-13,2025-09,2025-09,-,1次（以车辆登记证为准）,,,中大型车,白色,95号,前置后驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
途岳 2021款 280TSI 两驱舒适版,9.98,1.7,2022/02,55027833,330959,郑州,1,https://www.che168.com/dealer/330959/55027833.html,,万,1.7万公里,2022年02月,自动 / 1.4L,郑州,2022年02月,1.7万公里,,国VI,,2025-06-09,2026-02,2026-02,-,0次（以车辆登记证为准）,,,紧凑型SUV,白色,95号,前置前驱,您找咱们买车时，我们提供以下保障1．透明车况，提供每台车的保险记录，保养记录，读表记录和第三方检测报告；2．透明价格，拒绝套路，支持全网比价；3．精选优质车源，展厅精选5年8万公里以内的车况良好，整备完善的精选车源4．售后保障，可以提供一年三万公里的质保，事故水泡火烧终身回购；5．按揭无套路，不收手续费，抵押费，主做银行低息产品。首付1成起，可做5年期；您找我们卖车时，我们提供以下服务1．免费评估，发送基本车源信息，可以提供免费的线上报价，车况无出入，无套路不砍价收购2．高价收车，没有平台中间商赚差价，直接卖给终端零售车商，欢迎对比以后再来找我们评估3．极速打款，车况确认签订协议之后，10分钟直接可以收到车款。,,,,,,,,,,,
途昂 2023款 380TSI 四驱尊崇豪华版,21.5,2.6,2023/01,54954726,330959,郑州,1,https://www.che168.com/dealer/330959/54954726.html,,万,2.6万公里,2023年01月,自动 / 2L,郑州,2023年01月,2.6万公里,,国VI,,2025-06-12,2027-01,2026-01,-,0次（以车辆登记证为准）,,,中大型SUV,黑色,95号,前置四驱,您找咱们买车时，我们提供以下保障1．透明车况，提供每台车的保险记录，保养记录，读表记录和第三方检测报告；2．透明价格，拒绝套路，支持全网比价；3．精选优质车源，展厅精选5年8万公里以内的车况良好，整备完善的精选车源4．售后保障，可以提供一年三万公里的质保，事故水泡火烧终身回购；5．按揭无套路，不收手续费，抵押费，主做银行低息产品。首付1成起，可做5年期；您找我们卖车时，我们提供以下服务1．免费评估，发送基本车源信息，可以提供免费的线上报价，车况无出入，无套路不砍价收购2．高价收车，没有平台中间商赚差价，直接卖给终端零售车商，欢迎对比以后再来找我们评估3．极速打款，车况确认签订协议之后，10分钟直接可以收到车款。,,,,,,,,,,,
红旗HS5 2023款 2.0T 旗享Pro版,11.88,1.8,2024/01,54482694,339034,郑州,1,https://www.che168.com/dealer/339034/54482694.html,,¥11.88,1.8万公里,2024年01月,自动 / 2L,郑州,2024年01月,1.8万公里,,国VI,,2025-04-20,2026-01,2026-01,-,1次（以车辆登记证为准）,,,中型SUV,黑色,95号,前置前驱,这辆红旗HS5 2023款 2.0T 旗享Pro版，首次上牌时间是2024年1月，目前表显里程为1.8万公里。外观方面，原版原漆，漆面完美，还贴有隐形车衣，整体看起来非常新。内饰方面，车机功能正常，空调给力，豪华真皮座椅柔软舒适，没有明显使用痕迹。发动机和变速箱运转良好，底盘紧凑，车况极佳。个人一手车，全程4S店保养，无越野史，性价比极高。大灯也进行了升级。欢迎到店看车！,,,,,,,,,,,
岚图梦想家 2025款 PHEV 四驱旗舰鲲鹏版,31.87,1.35,2024/09,54371043,114219,郑州,1,https://www.che168.com/dealer/114219/54371043.html,岚图梦想家 2025款 PHEV 四驱旗舰鲲鹏版,¥31.87,1.35万公里,2024年09月,自动 / 1.5L,郑州,2024年09月,1.35万公里,,,,2025-05-31,2026-9,2025-9,-,0次（以车辆登记证为准）,,,,黑色,,前置四驱,"外观：漆面保养良好，车身结构无修复，无重大事故。 内饰：干净整洁。安全指示灯正常，气囊等被动安全项正常，车辆内电子器件使用良好， 车内静态动态设备完善。 驾驶：车辆点火、起步、提速、过弯、减速、制动均无问题，加速迅猛，动力输出平稳舒 适,无怠速抖动。 整体：整体车况一般。车体骨架结构无变形扭曲、无火烧泡水痕迹。车身有喷漆痕迹，整体漆面良好，排除大事故车辆。视野宽阔，练手选择，空间宽敞明亮通风性好，适 合家庭代步车。",,,,,,,,,,,
宝马i5 2024款 eDrive 35L 尊享型 M运动套装,27.88,1,2024/01,54374625,100582,郑州,1,https://www.che168.com/dealer/100582/54374625.html,宝马i5 2024款 eDrive 35L 尊享型 M运动套装,¥27.88,1万公里,2024年01月,自动 / 0L,郑州,2024年01月,1万公里,,,,2025-05-14,2026-01,2026-01,-,1次（以车辆登记证为准）,,,中大型车,银/灰色,,后置后驱,"【BMW/MINI官方认证二手车】：车龄不超过6年，行驶里程不超过120,000公里；【360度官方认证】：1. 360度专业认证检测表；2. 车辆行驶和维修记录真实可靠；3. 使用BMW原厂配件；4. BMW官方认证标识；【提供服务】：1. 12个月或不限公里原厂保修；2. 7天无忧退换；3. 12个月24小时BMW道路救援；4. 终身免费事故救援；【贴心增值服务】：1. 导航地图免费升级；2. 低首付分期贷款购车（低至可20%）；?3. 一站式置换服务；4.试乘试驾服务；5.二手车保险服务；BMW/MINI官方认证二手车介绍：BMW/MINI官方认证二手车必需是6年内12万公里内，通过360度专业认证检测确保无重大事故，无发动机大修，无组织机构破损，无涉水，维修记录真实可靠，并且通过美容整备工作的宝马二手车。提供宝马金融，24小时道路救援，享受1年不限公里全国宝马4s店保修。具体参数配置以实车为准，终解释权归河南宝莲祥二手车销售服务中心有限公司所有；",,,,,,,,,,,
威然 2023款 380TSI 尊驰版,19.3,3.96,2023/01,54966685,330959,郑州,1,https://www.che168.com/dealer/330959/54966685.html,,￥19.30,3.96万公里,2023年01月,自动 / 2L,郑州,2023年01月,3.96万公里,,国VI,,2025-06-04,2027-01,2026-01,-,0次（以车辆登记证为准）,,,,黑色,95号,前置前驱,您找咱们买车时，我们提供以下保障1．透明车况，提供每台车的保险记录，保养记录，读表记录和第三方检测报告；2．透明价格，拒绝套路，支持全网比价；3．精选优质车源，展厅精选5年8万公里以内的车况良好，整备完善的精选车源4．售后保障，可以提供一年三万公里的质保，事故水泡火烧终身回购；5．按揭无套路，不收手续费，抵押费，主做银行低息产品。首付1成起，可做5年期；您找我们卖车时，我们提供以下服务1．免费评估，发送基本车源信息，可以提供免费的线上报价，车况无出入，无套路不砍价收购2．高价收车，没有平台中间商赚差价，直接卖给终端零售车商，欢迎对比以后再来找我们评估3．极速打款，车况确认签订协议之后，10分钟直接可以收到车款。,,,,,,,,,,,
途观L 2022款 380TSI 自动四驱R-Line越享版7座,13.98,2.6,2022/12,55088912,377814,郑州,1,https://www.che168.com/dealer/377814/55088912.html,途观L 2022款 380TSI 自动四驱R-Line越享版7座,¥13.98,2.6万公里,2022年12月,自动 / 2L,郑州,2022年12月,2.6万公里,,国VI,,2025-06-13,2026-12,2025-12,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置四驱,车况精品，无重大事故，无火烧泡水，无加装改装配置。让您买的放心，省心，开心。底盘结构：无明显磨损发动机舱：运转良好外观：车身无结构性损伤内饰：干净整洁漆面：保养良好,,,,,,,,,,,
别克GL6 2019款 18T 6座互联尊贵型 国VI,6.76,3.33,2021/01,54926387,341726,郑州,1,https://www.che168.com/dealer/341726/54926387.html,别克GL6 2019款 18T 6座互联尊贵型 国VI,¥6.76,3.33万公里,2021年01月,自动 / 1.3L,郑州,2021年01月,3.33万公里,,国VI,,2025-06-03,2027-1,2026-1,-,2次（以车辆登记证为准）,,,,黄/橙色,92号,前置前驱,车辆编码：133622756,,,,,,,,,,,
Model Y 2021款 标准续航后驱版,15.36,6.64,2021/12,54871807,341726,郑州,1,https://www.che168.com/dealer/341726/54871807.html,Model Y 2021款 标准续航后驱版,¥15.36,6.64万公里,2021年12月,自动 / 0L,郑州,2021年12月,6.64万公里,,,,2025-05-25,2025-12,2025-12,-,0次（以车辆登记证为准）,,,中型SUV,其它,,后置后驱,车辆编码：133585014,,,,,,,,,,,
奥迪A4L 2022款 40 TFSI 豪华动感型,17.6,3.85,2023/06,55077733,152372,郑州,1,https://www.che168.com/dealer/152372/55077733.html,奥迪A4L 2022款 40 TFSI 豪华动感型,¥17.60,3.85万公里,2023年06月,自动 / 2L,郑州,2023年06月,3.85万公里,,国VI,,2025-06-13,2025-06,2025-06,-,0次（以车辆登记证为准）,,,中型车,白色,95号,前置前驱,详情致电客服，预约专属顾问，享成交好礼！,,,,,,,,,,,
途观L 2017款 380TSI 自动四驱旗舰版,9.42,5.94,2017/07,55084222,341726,郑州,1,https://www.che168.com/dealer/341726/55084222.html,途观L 2017款 380TSI 自动四驱旗舰版,¥9.42,5.94万公里,2017年07月,自动 / 2L,郑州,2017年07月,5.94万公里,,国V,,2025-06-13,2024-7,2024-7,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置四驱,批售推广,,,,,,,,,,,
途观L 2021款 330TSI 自动两驱R-Line越享版,12.89,1.64,2021/07,55073919,341726,郑州,1,https://www.che168.com/dealer/341726/55073919.html,途观L 2021款 330TSI 自动两驱R-Line越享版,¥12.89,1.64万公里,2021年07月,自动 / 2L,郑州,2021年07月,1.64万公里,,国VI,,2025-06-13,2025-7,2025-6,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置前驱,车辆编码：133849690,,,,,,,,,,,
赛那SIENNA 2021款 2.5L混动 铂金版,28.5,3.85,2022/01,55077490,152372,郑州,1,https://www.che168.com/dealer/152372/55077490.html,,¥28.50,3.85万公里,2022年01月,自动 / 2.5L,郑州,2022年01月,3.85万公里,,国VI,,2025-06-13,2026-1,2026-1,-,0次（以车辆登记证为准）,,,,白色,92号,前置前驱,详情致电客服，预约专属顾问，享成交好礼！,,,,,,,,,,,
领克01 2020款 2.0T 两驱纯Pro版 国VI,7.98,4.01,2021/01,53913058,341726,郑州,1,https://www.che168.com/dealer/341726/53913058.html,领克01 2020款 2.0T 两驱纯Pro版 国VI,¥7.98,4.01万公里,2021年01月,自动 / 2L,郑州,2021年01月,4.01万公里,,国VI,,2025-06-03,2026-1,2026-1,-,0次（以车辆登记证为准）,,,紧凑型SUV,其它,95号,前置前驱,车辆编码：132785520,,,,,,,,,,,
小米SU7 2024款 四驱超长续航高阶智驾Max版,23.88,0.1,2025/01,55022293,642185,郑州,1,https://www.che168.com/dealer/642185/55022293.html,小米SU7 2024款 四驱超长续航高阶智驾Max版,￥23.88,0.1万公里,2025年01月,自动 / 0L,郑州,2025年01月,0.1万公里,,,,2025-06-09,2027-01,2026-01,-,0次（以车辆登记证为准）,,,中大型车,绿色,,双电机四驱,"外观：漆面保养良好，车身结构无修复，无重大事故。 内饰：干净整洁。安全指示灯正常，气囊等被动安全项正常，车辆内电子器件使用良好， 车内静态动态设备完善。 驾驶：车辆点火、起步、提速、过弯、减速、制动均无问题，加速迅猛，动力输出平稳舒 适,无怠速抖动。 整体：整体车况一般。车体骨架结构无变形扭曲、无火烧泡水痕迹。车身有喷漆痕迹，整体漆面良好，排除大事故车辆。视野宽阔，练手选择，空间宽敞明亮通风性好，适合家庭代步车。",,,,,,,,,,,
途观L 2022款 330TSI 自动两驱R-Line越享版,14.18,3,2022/05,54990881,242122,郑州,1,https://www.che168.com/dealer/242122/54990881.html,,¥14.18,3万公里,2022年05月,自动 / 2L,郑州,2022年05月,3万公里,,国VI,,2025-06-10,2026-05,2026-05,-,0次（以车辆登记证为准）,,,中型SUV,黑色,95号,前置前驱,店内常态库存 1000  。【分期购车】支持0首付、贷款可分期5年、手续简单、无套路。【全国高价收购新能源二手车】支持置换。【本公司不经营套现车】【支持全国定向找车】同样享受低利息、等服务。,,,,,,,,,,,
途观L 2024款 330TSI 自动两驱R-Line越享版,16.18,1.04,2024/01,55006525,428218,郑州,1,https://www.che168.com/dealer/428218/55006525.html,途观L 2024款 330TSI 自动两驱R-Line越享版,¥16.18,1.04万公里,2024年01月,自动 / 2L,郑州,2024年01月,1.04万公里,,国VI,,2025-06-07,2026-01,2026-01,-,0次（以车辆登记证为准）,,,中型SUV,白色,95号,前置前驱,郑州启源名车，本店以信誉求发展，只做精品，所有出售车辆，都附有第三方检测报告，全车经过一百多项全面检测，支持90天回购保障，所有车源，车况百分百属实，支持分期，一成首付、底利息、60期等金融服务，旧车置换等，我们做到透明买透明卖，看上哪款车欢迎致电，温馨提示：展厅客流量大，车辆可能随时售出，到店看车前，务必提前联系我们。,,,,,,,,,,,
传祺M8 2023款 宗师系列 400T 旗舰版,22.5,2.9,2023/10,54950469,152372,郑州,1,https://www.che168.com/dealer/152372/54950469.html,,¥22.50,2.9万公里,2023年10月,自动 / 2L,郑州,2023年10月,2.9万公里,,国VI,,2025-06-02,2025-10,2025-10,-,0次（以车辆登记证为准）,,,,白色,95号,前置前驱,详情致电客服，预约专属顾问，享成交好礼！,,,,,,,,,,,
宝马5系 2021款 改款 530Li 领先型 豪华套装,27.3,3.33,2021/09,54992431,152372,郑州,1,https://www.che168.com/dealer/152372/54992431.html,,¥27.30,3.33万公里,2021年09月,自动 / 2L,郑州,2021年09月,3.33万公里,,国VI,,2025-06-06,2025-9,2025-9,-,0次（以车辆登记证为准）,,,中大型车,白色,95号,前置后驱,详情致电客服，预约专属顾问，享成交好礼！【二手车一站式服务综合体―郑州美驰】成立于 2013 年7 月。经过11年跨越式高速发展，现已拥有 6 家全资子公司，郑州、武汉两个直营旗舰店，营业面积 80000 多平方米，在售车辆超 1000 台，总投资约6 亿元。 美驰名车郑州店自2014年成立以来，主营3年5万公里以内的中高端二手车，尊享1年2万公里5大核心系统质保。每一台车均经过9大类412项全方位检测，出具专业的质检报告，签订质保承诺书，坚决杜绝事故车、泡水车、火烧车。  顾客尊享。支持第三方检测机构实车检测 美驰是中国首家实施多城多店直营模式的独立二手车品牌商，业务涵盖：中高端精品二手车及新车的采购、评估收购、销售、售后维修保养、精品加装改装、汽车供应链金融、名车私人定制、美驰会俱乐部等为一体的综合性汽车生态服务体系。中国二手车流通行业诚信经营品牌，中国汽车流通协会国标“行”认证--全国首批准入企业；2022年底，海尔集团与美驰正式建立战略合作，成为二手车新政合规化、业务流程标准化、盈利模式创新型示范。公司地址：郑州市郑东新区商都路与潭南街交汇处。,,,,,,,,,,,
迈巴赫S级 2021款 S 480 4MATIC,114.8,2.78,2022/09,55057929,152372,郑州,1,https://www.che168.com/dealer/152372/55057929.html,,¥114.80,2.78万公里,2022年09月,自动 / 3L,郑州,2022年09月,2.78万公里,,国VI,,2025-06-11,2026-9,2025-9,-,0次（以车辆登记证为准）,,,大型车,黑色,95号,前置四驱,详情致电客服，预约专属顾问，享成交好礼！,,,,,,,,,,,
途观L 2023款 380TSI 自动四驱R-Line旗舰版7座,19.79,0.8,2023/10,54942680,409507,郑州,1,https://www.che168.com/dealer/409507/54942680.html,途观L 2023款 380TSI 自动四驱R-Line旗舰版7座,¥19.79,0.8万公里,2023年10月,自动 / 2L,郑州,2023年10月,0.8万公里,,国VI,,2025-06-01,2025-10,2025-10,-,0次（以车辆登记证为准）,,,中型SUV,银/灰色,95号,前置四驱,这辆途观L 2023款 380TSI 自动四驱R-Line旗舰版7座，首次上牌时间是2023年10月，目前表显里程仅0.8万公里。配置方面，它拥有并线辅助、车道保持辅助系统、主动刹车等安全配置，还有方向盘加热、全液晶仪表盘和蓝牙/车载电话等舒适配置。外观保持原版原漆，车况良好。欢迎到店看车，亲自体验一下吧！,,,,,,,,,,,
